id,name,HI08_alg_p,HI08_access_p,BL08_alg_p,BL08_access_p,WH08_alg_p,WH08_access_p,WB_diff,WH_diff,WB_access,WH_access,WB_diff_rank,WH_diff_rank,WB_access_rank,WH_access_rank,rank
9999999,The Nation,0.1821076,0.78204566,0.17000663,0.77178937,0.29232338,0.8491798,0.12231675,0.11021578,0.077390432,0.067134142,0,0,0,0,0
635310,"Santa Ana Unified School District, CA",0.01020929,0.04389995,0,0.25,0.15757576,0.76969695,0.15757576,0.14736646,0.51969695,0.725797,55,35,2,1,55
4700148,"Shelby County School District, TN",0.14285715,0.55484694,0.10995784,0.58644176,0.24458875,0.84848487,0.13463092,0.1017316,0.26204312,0.29363793,64,67,6,2,64
3620580,"New York City Department Of Education, NY",0.14959225,0.6053341,0.17809804,0.54854828,0.35478628,0.88017595,0.17668824,0.20519403,0.33162767,0.27484185,38,16,4,3,38
1709930,"Chicago Public School District 299, IL",0.24657643,0.68718153,0.17563625,0.32954431,0.54916275,0.93387723,0.37352651,0.30258632,0.60433292,0.2466957,2,3,1,4,2
803360,"Denver County School District 1, CO",0.593741,0.72150445,0.65249091,0.85419196,0.78969592,0.96537161,0.137205,0.19595492,0.11117965,0.24386716,63,19,17,5,63
622710,"Los Angeles Unified School District, CA",0.090689823,0.74781996,0.098194949,0.71227437,0.2591638,0.95160365,0.16096884,0.16847397,0.23932928,0.20378369,51,28,7,6,51
1100030,"District of Columbia Public Schools, DC",0.45373666,0.80960852,0.24108718,0.67984468,0.41712707,0.99447513,0.17603989,-0.03660959,0.31463045,0.18486661,39,97,5,7,39
2400090,"Baltimore City Public Schools, MD",0.068767905,0.14040114,0.080702536,0.17830147,0.21994884,0.31713554,0.13924631,0.15118094,0.13883407,0.1767344,61,33,14,8,61
634320,"San Diego City Unified School District, CA",0.11241649,0.71481228,0.15632755,0.75682384,0.34239677,0.88066465,0.18606922,0.22998028,0.12384081,0.16585237,29,12,15,9,29
634170,"San Bernardino City Unified School District, CA",0.069064751,0.13237411,0.044303797,0.10337552,0.16141732,0.26377952,0.11711352,0.092352569,0.160404,0.13140541,69,72,13,10,69
1300120,"Atlanta City School District, GA",0.063025214,0.76890755,0.051024076,0.48760331,0.50918633,0.89763778,0.45816225,0.44616112,0.41003448,0.12873024,1,1,3,11,1
4703180,"Metropolitan Nashville Public School District, TN",0.24462366,0.8530466,0.18391286,0.87264347,0.37732342,0.95786864,0.19341056,0.13269976,0.085225165,0.10482204,28,49,20,12,28
4900030,"Alpine School District, UT",0.015449438,0.14606741,0.01923077,0.21153846,0.043112092,0.25045118,0.023881322,0.027662653,0.038912714,0.10438377,93,94,24,13,93
408800,"Tucson Unified District, AZ",0.032821823,0.17050299,0.02586207,0.28448275,0.083014049,0.27203065,0.057151981,0.050192226,-0.012452096,0.10152766,90,87,92,14,90
1201230,"Manatee County School District, FL",0.11150131,0.86303777,0.087248325,0.86577183,0.2,0.96428573,0.11275168,0.088498689,0.098513901,0.10124797,70,74,18,15,70
4218990,"Philadelphia City School District, PA",0.004558641,0.020306673,0.023080338,0.067169696,0.032721009,0.11653272,0.009640671,0.028162368,0.049363025,0.096226051,96,93,23,16,96
1301740,"DeKalb County School District, GA",0.067603163,0.88937664,0.071085915,0.75599653,0.29001367,0.98495209,0.21892776,0.2224105,0.22895557,0.095575452,16,13,8,17,16
4823640,"Houston Independent School District, TX",0.19336191,0.89145821,0.1569799,0.90304184,0.32625785,0.98584908,0.16927795,0.13289595,0.082807243,0.094390869,47,46,21,18,47
5509600,"Milwaukee School District, WI",0.015486726,0.21312684,0.013375572,0.083773322,0.09931507,0.27568492,0.085939497,0.083828345,0.19191161,0.062558085,79,76,12,19,79
2200840,"Jefferson Parish School District, LA",0.14663143,0.75165123,0.1128069,0.78699404,0.27466938,0.80874872,0.16186248,0.12803794,0.021754682,0.057097495,48,50,27,20,48
1302280,"Fulton County School District, GA",0.064237773,0.95110261,0.058919802,0.79770869,0.15919487,0.99771273,0.10027507,0.094957098,0.20000404,0.046610117,73,70,9,21,73
3904378,"Cleveland Municipal School District, OH",0.003696858,0.035120148,0.015357613,0.068889864,0.026415095,0.077358492,0.011057482,0.022718238,0.008468628,0.042238344,95,95,38,22,95
1301230,"Clayton County School District, GA",0.14396887,0.95979249,0.12409012,0.9830156,0.27184466,1,0.14775454,0.12787579,0.016984403,0.040207505,58,52,30,23,58
4834320,"Pasadena Independent School District, TX",0.15501691,0.95659524,0.11513158,0.98026317,0.20491803,0.99590164,0.089786448,0.049901113,0.015638471,0.039306402,75,88,32,24,75
609850,"Corona-Norco Unified School District, CA",0.070066728,0.96377504,0.1008772,1,0.16912402,0.99739808,0.068246827,0.099057294,-0.002601922,0.03362304,85,68,82,25,85
1200480,"Duval County School District, FL",0.16782407,0.90046299,0.18036015,0.81767023,0.23747927,0.9323383,0.057119116,0.069655195,0.11466807,0.031875312,91,81,16,26,91
3500060,"Albuquerque Public Schools, NM",0.18778178,0.96956718,0.22155689,0.994012,0.38115942,0.99275362,0.15960254,0.19337764,-0.001258373,0.023186445,53,21,78,27,53
4808940,"Austin Independent School District, TX",0.2171659,0.97033411,0.16268981,0.99132323,0.3566201,0.99334663,0.1939303,0.1394542,0.002023399,0.023012519,26,38,45,28,26
4816230,"Dallas Independent School District, TX",0.2390337,0.96389067,0.20606293,0.89370686,0.55555558,0.98639458,0.34949267,0.31652188,0.092687726,0.022503912,3,2,19,29,3
607440,"Capistrano Unified School District, CA",0.14995131,0.96884131,0.15686275,0.98039216,0.28272921,0.98763329,0.12586646,0.1327779,0.00724113,0.018791974,66,48,40,30,66
102370,"Mobile County School District, AL",0.12149533,0.83177572,0.096839957,0.65698266,0.17087492,0.85026425,0.074034967,0.049379595,0.19328159,0.018488526,84,89,11,31,84
4818300,"El Paso Independent School District, TX",0.20522387,0.94189763,0.1882353,0.95294118,0.3888889,0.95959598,0.2006536,0.18366502,0.006654799,0.017698348,21,22,41,32,21
3701920,"Guilford County Schools, NC",0.19694868,0.92371708,0.14046675,0.93747246,0.33570412,0.9397819,0.19523737,0.13875544,0.002309442,0.016064823,24,39,44,33,24
1200180,"Broward County School District, FL",0.20334968,0.97868383,0.17177345,0.97665471,0.32152587,0.99318802,0.14975242,0.11817619,0.016533315,0.014504194,57,61,31,34,57
4900210,"Davis School District, UT",0.057513915,0.95547312,0.069767445,0.96511626,0.091830403,0.96814889,0.022062957,0.034316488,0.003032625,0.012675762,94,91,43,35,94
4807710,"Aldine Independent School District, TX",0.066687837,0.94855511,0.064150944,0.98679245,0.05479452,0.95890409,-0.009356424,-0.011893317,-0.027888358,0.010348976,98,96,95,36,98
3702970,"Charlotte-Mecklenburg Schools, NC",0.20076562,0.98766482,0.15994713,0.94073582,0.49874687,0.99777222,0.33879974,0.29798126,0.0570364,0.010107398,4,4,22,37,4
1200390,"Dade County School District, FL",0.26077819,0.99347919,0.2089904,0.99510604,0.3836565,0.9995383,0.17466611,0.12287831,0.004432261,0.00605911,40,57,42,38,40
1302550,"Gwinnett County School District, GA",0.36538956,0.99640012,0.31998229,0.98871434,0.53039891,1,0.21041662,0.16500935,0.011285663,0.003599882,17,29,35,39,17
1201920,"Volusia County School District, FL",0.12446352,0.99356222,0.091922008,0.96378833,0.17585693,0.99664682,0.083934925,0.051393412,0.032858491,0.0030846,81,86,26,40,81
1301290,"Cobb County School District, GA",0.082989991,0.99587995,0.095444687,0.98083878,0.28,0.998806,0.18455532,0.19701001,0.017967224,0.002926052,31,18,29,41,31
1201080,"Lee County School District, FL",0.34567389,0.9916805,0.29853863,0.99686849,0.48120806,0.9942953,0.18266943,0.13553417,-0.002573192,0.002614796,33,43,81,42,33
1201440,"Orange County School District, FL",0.30850264,0.99492097,0.26890081,0.9994638,0.44356042,0.99751365,0.17465961,0.13505778,-0.001950145,0.002592683,41,44,79,43,41
2400120,"Baltimore County Public Schools, MD",0.43859649,0.9982456,0.41884297,0.99008262,0.48001251,1,0.061169535,0.041416019,0.009917378,0.001754403,89,90,37,44,89
3904380,"Columbus City School District, OH",0.034210525,0.40000001,0.032608695,0.41304347,0.1109902,0.40152338,0.078381509,0.076779678,-0.011520088,0.001523376,83,80,90,45,83
4820340,"Garland Independent School District, TX",0.294604,0.98825067,0.2551963,0.99538106,0.43678162,0.9896552,0.18158531,0.14217761,-0.005725861,0.001404524,34,36,85,46,34
4835100,"Plano Independent School District, TX",0.2248062,1,0.20769231,1,0.50171429,1,0.29402196,0.2769081,0,0,8,6,48,47,8
5101260,"Fairfax County Public Schools, VA",0.32716051,1,0.40028089,1,0.60209805,1,0.20181715,0.27493754,0,0,20,7,57,48,20
2400060,"Anne Arundel County Public Schools, MD",0.29202038,1,0.2242268,1,0.537561,1,0.3133342,0.24554062,0,0,6,9,47,49,6
4816110,"Cypress-Fairbanks Independent School District, TX",0.27731311,1,0.25192803,1,0.5218671,1,0.26993906,0.24455398,0,0,10,10,50,50,10
622500,"Long Beach Unified School District, CA",0.42254427,1,0.37369034,1,0.66190475,1,0.28821442,0.23936048,0,0,9,11,49,51,9
5103130,"Prince William County Public Schools, VA",0.18273646,1,0.21819526,1,0.39145908,1,0.17326382,0.20872262,0,0,43,14,63,52,43
